No.,Name,Type,Abilities,HP,Att,Def,S.Att,S.Def,Spd,Total
#0286,Breloom (/pokemon/breloom),grass | fighting,Effect Spore (/abilitydex/effectspore.shtml) | Poison Heal (/abilitydex/poisonheal.shtml) | Technician (/abilitydex/technician.shtml),60,130,80,60,60,70,460
#0287,Slakoth (/pokemon/slakoth),normal,Truant (/abilitydex/truant.shtml),60,60,60,35,35,30,280
#0288,Vigoroth (/pokemon/vigoroth),normal,Vital Spirit (/abilitydex/vitalspirit.shtml),80,80,80,55,55,90,440
#0289,Slaking (/pokemon/slaking),normal,Truant (/abilitydex/truant.shtml),150,160,100,95,65,100,670
#0290,Nincada (/pokemon/nincada),bug | ground,Compoundeyes (/abilitydex/compoundeyes.shtml) | Run Away (/abilitydex/runaway.shtml),31,45,90,30,30,40,266
#0291,Ninjask (/pokemon/ninjask),bug | flying,Speed Boost (/abilitydex/speedboost.shtml) | Infiltrator (/abilitydex/infiltrator.shtml),61,90,45,50,50,160,456
#0292,Shedinja (/pokemon/shedinja),bug | ghost,Wonder Guard (/abilitydex/wonderguard.shtml),1,90,45,30,30,40,236
#0293,Whismur (/pokemon/whismur),normal,Soundproof (/abilitydex/soundproof.shtml) | Rattled (/abilitydex/rattled.shtml),64,51,23,51,23,28,240
#0294,Loudred (/pokemon/loudred),normal,Soundproof (/abilitydex/soundproof.shtml) | Scrappy (/abilitydex/scrappy.shtml),84,71,43,71,43,48,360
#0295,Exploud (/pokemon/exploud),normal,Soundproof (/abilitydex/soundproof.shtml) | Scrappy (/abilitydex/scrappy.shtml),104,91,63,91,73,68,490
#0296,Makuhita (/pokemon/makuhita),fighting,Thick Fat (/abilitydex/thickfat.shtml) | Guts (/abilitydex/guts.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),72,60,30,20,30,25,237
#0297,Hariyama (/pokemon/hariyama),fighting,Thick Fat (/abilitydex/thickfat.shtml) | Guts (/abilitydex/guts.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),144,120,60,40,60,50,474
#0298,Azurill (/pokemon/azurill),normal | fairy,Thick Fat (/abilitydex/thickfat.shtml) | Huge Power (/abilitydex/hugepower.shtml) | Sap Sipper (/abilitydex/sapsipper.shtml),50,20,40,20,40,20,190
#0299,Nosepass (/pokemon/nosepass),rock,Sturdy (/abilitydex/sturdy.shtml) | Magnet Pull (/abilitydex/magnetpull.shtml) | Sand Force (/abilitydex/sandforce.shtml),30,45,135,45,90,30,375
#0300,Skitty (/pokemon/skitty),normal,Cute Charm (/abilitydex/cutecharm.shtml) | Normalize (/abilitydex/normalize.shtml) | Wonder Skin (/abilitydex/wonderskin.shtml),50,45,45,35,35,50,260
#0301,Delcatty (/pokemon/delcatty),normal,Cute Charm (/abilitydex/cutecharm.shtml) | Normalize (/abilitydex/normalize.shtml) | Wonder Skin (/abilitydex/wonderskin.shtml),70,65,65,55,55,90,400
#0302,Sableye (/pokemon/sableye),dark | ghost,Keen Eye (/abilitydex/keeneye.shtml) | Stall (/abilitydex/stall.shtml) | Prankster (/abilitydex/prankster.shtml),50,75,75,65,65,50,380
#0303,Mawile (/pokemon/mawile),steel | fairy,Hyper Cutter (/abilitydex/hypercutter.shtml) | Intimidate (/abilitydex/intimidate.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),50,85,85,55,55,50,380
#0304,Aron (/pokemon/aron),steel | rock,Sturdy (/abilitydex/sturdy.shtml) | Rock Head (/abilitydex/rockhead.shtml) | Heavy Metal (/abilitydex/heavymetal.shtml),50,70,100,40,40,30,330
#0305,Lairon (/pokemon/lairon),steel | rock,Sturdy (/abilitydex/sturdy.shtml) | Rock Head (/abilitydex/rockhead.shtml) | Heavy Metal (/abilitydex/heavymetal.shtml),60,90,140,50,50,40,430
#0306,Aggron (/pokemon/aggron),steel | rock,Sturdy (/abilitydex/sturdy.shtml) | Rock Head (/abilitydex/rockhead.shtml) | Heavy Metal (/abilitydex/heavymetal.shtml),70,110,180,60,60,50,530
#0307,Meditite (/pokemon/meditite),fighting | psychic,Pure Power (/abilitydex/purepower.shtml) | Telepathy (/abilitydex/telepathy.shtml),30,40,55,40,55,60,280
#0308,Medicham (/pokemon/medicham),fighting | psychic,Pure Power (/abilitydex/purepower.shtml) | Telepathy (/abilitydex/telepathy.shtml),60,60,75,60,75,80,410
#0309,Electrike (/pokemon/electrike),electric,Static (/abilitydex/static.shtml) | Lightning Rod (/abilitydex/lightningrod.shtml) | Minus (/abilitydex/minus.shtml),40,45,40,65,40,65,295
#0310,Manectric (/pokemon/manectric),electric,Static (/abilitydex/static.shtml) | Lightning Rod (/abilitydex/lightningrod.shtml) | Minus (/abilitydex/minus.shtml),70,75,60,105,60,105,475
#0311,Plusle (/pokemon/plusle),electric,Plus (/abilitydex/plus.shtml) | Lightning Rod (/abilitydex/lightningrod.shtml),60,50,40,85,75,95,405
#0312,Minun (/pokemon/minun),electric,Minus (/abilitydex/minus.shtml) | Volt Absorb (/abilitydex/voltabsorb.shtml),60,40,50,75,85,95,405
#0313,Volbeat (/pokemon/volbeat),bug,Illuminate (/abilitydex/illuminate.shtml) | Swarm (/abilitydex/swarm.shtml) | Prankster (/abilitydex/prankster.shtml),65,73,75,47,85,85,430
#0314,Illumise (/pokemon/illumise),bug,Oblivious (/abilitydex/oblivious.shtml) | Tinted Lens (/abilitydex/tintedlens.shtml) | Prankster (/abilitydex/prankster.shtml),65,47,75,73,85,85,430
#0315,Roselia (/pokemon/roselia),grass | poison,Natural Cure (/abilitydex/naturalcure.shtml) | Poison Point (/abilitydex/poisonpoint.shtml) | Leaf Guard (/abilitydex/leafguard.shtml),50,60,45,100,80,65,400
#0316,Gulpin (/pokemon/gulpin),poison,Liquid Ooze (/abilitydex/liquidooze.shtml) | Sticky Hold (/abilitydex/stickyhold.shtml) | Gluttony (/abilitydex/gluttony.shtml),70,43,53,43,53,40,302
#0317,Swalot (/pokemon/swalot),poison,Liquid Ooze (/abilitydex/liquidooze.shtml) | Sticky Hold (/abilitydex/stickyhold.shtml) | Gluttony (/abilitydex/gluttony.shtml),100,73,83,73,83,55,467
#0318,Carvanha (/pokemon/carvanha),water | dark,Rough Skin (/abilitydex/roughskin.shtml) | Speed Boost (/abilitydex/speedboost.shtml),45,90,20,65,20,65,305
#0319,Sharpedo (/pokemon/sharpedo),water | dark,Rough Skin (/abilitydex/roughskin.shtml) | Speed Boost (/abilitydex/speedboost.shtml),70,120,40,95,40,95,460
#0320,Wailmer (/pokemon/wailmer),water,Water Veil (/abilitydex/waterveil.shtml) | Oblivious (/abilitydex/oblivious.shtml) | Pressure (/abilitydex/pressure.shtml),130,70,35,70,35,60,400
#0321,Wailord (/pokemon/wailord),water,Water Veil (/abilitydex/waterveil.shtml) | Oblivious (/abilitydex/oblivious.shtml) | Pressure (/abilitydex/pressure.shtml),170,90,45,90,45,60,500
#0322,Numel (/pokemon/numel),fire | ground,Oblivious (/abilitydex/oblivious.shtml) | Simple (/abilitydex/simple.shtml) | Own Tempo (/abilitydex/owntempo.shtml),60,60,40,65,45,35,305
#0323,Camerupt (/pokemon/camerupt),fire | ground,Magma Armor (/abilitydex/magmaarmor.shtml) | Solid Rock (/abilitydex/solidrock.shtml) | Anger Point (/abilitydex/angerpoint.shtml),70,100,70,105,75,40,460
#0324,Torkoal (/pokemon/torkoal),fire,White Smoke (/abilitydex/whitesmoke.shtml) | Drought (/abilitydex/drought.shtml) | Shell Armor (/abilitydex/shellarmor.shtml),70,85,140,85,70,20,470
#0325,Spoink (/pokemon/spoink),psychic,Thick Fat (/abilitydex/thickfat.shtml) | Own Tempo (/abilitydex/owntempo.shtml) | Gluttony (/abilitydex/gluttony.shtml),60,25,35,70,80,60,330
#0326,Grumpig (/pokemon/grumpig),psychic,Thick Fat (/abilitydex/thickfat.shtml) | Own Tempo (/abilitydex/owntempo.shtml) | Gluttony (/abilitydex/gluttony.shtml),80,45,65,90,110,80,470
#0327,Spinda (/pokemon/spinda),normal,Own Tempo (/abilitydex/owntempo.shtml) | Tangled Feet (/abilitydex/tangledfeet.shtml) | Contrary (/abilitydex/contrary.shtml),60,60,60,60,60,60,360
#0328,Trapinch (/pokemon/trapinch),ground,Hyper Cutter (/abilitydex/hypercutter.shtml) | Arena Trap (/abilitydex/arenatrap.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),45,100,45,45,45,10,290
#0329,Vibrava (/pokemon/vibrava),ground | dragon,Levitate (/abilitydex/levitate.shtml),50,70,50,50,50,70,340
#0330,Flygon (/pokemon/flygon),ground | dragon,Levitate (/abilitydex/levitate.shtml),80,100,80,80,80,100,520
#0331,Cacnea (/pokemon/cacnea),grass,Sand Veil (/abilitydex/sandveil.shtml) | Water Absorb (/abilitydex/waterabsorb.shtml),50,85,40,85,40,35,335
#0332,Cacturne (/pokemon/cacturne),grass | dark,Sand Veil (/abilitydex/sandveil.shtml) | Water Absorb (/abilitydex/waterabsorb.shtml),70,115,60,115,60,55,475
#0333,Swablu (/pokemon/swablu),normal | flying,Natural Cure (/abilitydex/naturalcure.shtml) | Cloud Nine (/abilitydex/cloudnine.shtml),45,40,60,40,75,50,310
#0334,Altaria (/pokemon/altaria),dragon | flying,Natural Cure (/abilitydex/naturalcure.shtml) | Cloud Nine (/abilitydex/cloudnine.shtml),75,70,90,70,105,80,490
#0335,Zangoose (/pokemon/zangoose),normal,Immunity (/abilitydex/immunity.shtml) | Toxic Boost (/abilitydex/toxicboost.shtml),73,115,60,60,60,90,458
#0336,Seviper (/pokemon/seviper),poison,Shed Skin (/abilitydex/shedskin.shtml) | Infiltrator (/abilitydex/infiltrator.shtml),73,100,60,100,60,65,458
#0337,Lunatone (/pokemon/lunatone),rock | psychic,Levitate (/abilitydex/levitate.shtml),90,55,65,95,85,70,460
#0338,Solrock (/pokemon/solrock),rock | psychic,Levitate (/abilitydex/levitate.shtml),90,95,85,55,65,70,460
#0339,Barboach (/pokemon/barboach),water | ground,Oblivious (/abilitydex/oblivious.shtml) | Anticipation (/abilitydex/anticipation.shtml) | Hydration (/abilitydex/hydration.shtml),50,48,43,46,41,60,288
#0340,Whiscash (/pokemon/whiscash),water | ground,Oblivious (/abilitydex/oblivious.shtml) | Anticipation (/abilitydex/anticipation.shtml) | Hydration (/abilitydex/hydration.shtml),110,78,73,76,71,60,468
#0341,Corphish (/pokemon/corphish),water,Hyper Cutter (/abilitydex/hypercutter.shtml) | Shell Armor (/abilitydex/shellarmor.shtml) | Adaptability (/abilitydex/adaptability.shtml),43,80,65,50,35,35,308
#0342,Crawdaunt (/pokemon/crawdaunt),water | dark,Hyper Cutter (/abilitydex/hypercutter.shtml) | Shell Armor (/abilitydex/shellarmor.shtml) | Adaptability (/abilitydex/adaptability.shtml),63,120,85,90,55,55,468
#0343,Baltoy (/pokemon/baltoy),ground | psychic,Levitate (/abilitydex/levitate.shtml),40,40,55,40,70,55,300
#0344,Claydol (/pokemon/claydol),ground | psychic,Levitate (/abilitydex/levitate.shtml),60,70,105,70,120,75,500
#0345,Lileep (/pokemon/lileep),rock | grass,Suction Cups (/abilitydex/suctioncups.shtml) | Storm Drain (/abilitydex/stormdrain.shtml),66,41,77,61,87,23,355
#0346,Cradily (/pokemon/cradily),rock | grass,Suction Cups (/abilitydex/suctioncups.shtml) | Storm Drain (/abilitydex/stormdrain.shtml),86,81,97,81,107,43,495
#0347,Anorith (/pokemon/anorith),rock | bug,Battle Armor (/abilitydex/battlearmor.shtml) | Swift Swim (/abilitydex/swiftswim.shtml),45,95,50,40,50,75,355
#0348,Armaldo (/pokemon/armaldo),rock | bug,Battle Armor (/abilitydex/battlearmor.shtml) | Swift Swim (/abilitydex/swiftswim.shtml),75,125,100,70,80,45,495
#0349,Feebas (/pokemon/feebas),water,Swift Swim (/abilitydex/swiftswim.shtml) | Oblivious (/abilitydex/oblivious.shtml) | Adaptability (/abilitydex/adaptability.shtml),20,15,20,10,55,80,200
#0350,Milotic (/pokemon/milotic),water,Marvel Scale (/abilitydex/marvelscale.shtml) | Competitive (/abilitydex/competitive.shtml) | Cute Charm (/abilitydex/cutecharm.shtml),95,60,79,100,125,81,540
#0351,Castform (/pokemon/castform),normal,Forecast (/abilitydex/forecast.shtml),70,70,70,70,70,70,420
#0352,Kecleon (/pokemon/kecleon),normal,Color Change (/abilitydex/colorchange.shtml) | Protean (/abilitydex/protean.shtml),60,90,70,60,120,40,440
#0353,Shuppet (/pokemon/shuppet),ghost,Insomnia (/abilitydex/insomnia.shtml) | Frisk (/abilitydex/frisk.shtml) | Cursed Body (/abilitydex/cursedbody.shtml),44,75,35,63,33,45,295
#0354,Banette (/pokemon/banette),ghost,Insomnia (/abilitydex/insomnia.shtml) | Frisk (/abilitydex/frisk.shtml) | Cursed Body (/abilitydex/cursedbody.shtml),64,115,65,83,63,65,455
#0355,Duskull (/pokemon/duskull),ghost,Levitate (/abilitydex/levitate.shtml) | Frisk (/abilitydex/frisk.shtml),20,40,90,30,90,25,295
#0356,Dusclops (/pokemon/dusclops),ghost,Pressure (/abilitydex/pressure.shtml) | Frisk (/abilitydex/frisk.shtml),40,70,130,60,130,25,455
#0357,Tropius (/pokemon/tropius),grass | flying,Chlorophyll (/abilitydex/chlorophyll.shtml) | Solar Power (/abilitydex/solarpower.shtml) | Harvest (/abilitydex/harvest.shtml),99,68,83,72,87,51,460
#0358,Chimecho (/pokemon/chimecho),psychic,Levitate (/abilitydex/levitate.shtml),75,50,80,95,90,65,455
#0359,Absol (/pokemon/absol),dark,Pressure (/abilitydex/pressure.shtml) | Super Luck (/abilitydex/superluck.shtml) | Justified (/abilitydex/justified.shtml),65,130,60,75,60,75,465
#0360,Wynaut (/pokemon/wynaut),psychic,Shadow Tag (/abilitydex/shadowtag.shtml) | Telepathy (/abilitydex/telepathy.shtml),95,23,48,23,48,23,260
#0361,Snorunt (/pokemon/snorunt),ice,Inner Focus (/abilitydex/innerfocus.shtml) | Ice Body (/abilitydex/icebody.shtml) | Moody (/abilitydex/moody.shtml),50,50,50,50,50,50,300
#0362,Glalie (/pokemon/glalie),ice,Inner Focus (/abilitydex/innerfocus.shtml) | Ice Body (/abilitydex/icebody.shtml) | Moody (/abilitydex/moody.shtml),80,80,80,80,80,80,480
#0363,Spheal (/pokemon/spheal),ice | water,Thick Fat (/abilitydex/thickfat.shtml) | Ice Body (/abilitydex/icebody.shtml) | Oblivious (/abilitydex/oblivious.shtml),70,40,50,55,50,25,290
#0364,Sealeo (/pokemon/sealeo),ice | water,Thick Fat (/abilitydex/thickfat.shtml) | Ice Body (/abilitydex/icebody.shtml) | Oblivious (/abilitydex/oblivious.shtml),90,60,70,75,70,45,410
#0365,Walrein (/pokemon/walrein),ice | water,Thick Fat (/abilitydex/thickfat.shtml) | Ice Body (/abilitydex/icebody.shtml) | Oblivious (/abilitydex/oblivious.shtml),110,80,90,95,90,65,530
#0366,Clamperl (/pokemon/clamperl),water,Shell Armor (/abilitydex/shellarmor.shtml) | Rattled (/abilitydex/rattled.shtml),35,64,85,74,55,32,345
#0367,Huntail (/pokemon/huntail),water,Swift Swim (/abilitydex/swiftswim.shtml) | Water Veil (/abilitydex/waterveil.shtml),55,104,105,94,75,52,485
#0368,Gorebyss (/pokemon/gorebyss),water,Swift Swim (/abilitydex/swiftswim.shtml) | Hydration (/abilitydex/hydration.shtml),55,84,105,114,75,52,485
#0369,Relicanth (/pokemon/relicanth),water | rock,Swift Swim (/abilitydex/swiftswim.shtml) | Rock Head (/abilitydex/rockhead.shtml) | Sturdy (/abilitydex/sturdy.shtml),100,90,130,45,65,55,485
#0370,Luvdisc (/pokemon/luvdisc),water,Swift Swim (/abilitydex/swiftswim.shtml) | Hydration (/abilitydex/hydration.shtml),43,30,55,40,65,97,330
#0371,Bagon (/pokemon/bagon),dragon,Rock Head (/abilitydex/rockhead.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),45,75,60,40,30,50,300
#0372,Shelgon (/pokemon/shelgon),dragon,Rock Head (/abilitydex/rockhead.shtml) | Overcoat (/abilitydex/overcoat.shtml),65,95,100,60,50,50,420
#0373,Salamence (/pokemon/salamence),dragon | flying,Intimidate (/abilitydex/intimidate.shtml) | Moxie (/abilitydex/moxie.shtml),95,135,80,110,80,100,600
#0374,Beldum (/pokemon/beldum),steel | psychic,Clear Body (/abilitydex/clearbody.shtml) | Light Metal (/abilitydex/lightmetal.shtml),40,55,80,35,60,30,300
#0375,Metang (/pokemon/metang),steel | psychic,Clear Body (/abilitydex/clearbody.shtml) | Light Metal (/abilitydex/lightmetal.shtml),60,75,100,55,80,50,420
#0376,Metagross (/pokemon/metagross),steel | psychic,Clear Body (/abilitydex/clearbody.shtml) | Light Metal (/abilitydex/lightmetal.shtml),80,135,130,95,90,70,600
#0377,Regirock (/pokemon/regirock),rock,Clear Body (/abilitydex/clearbody.shtml) | Sturdy (/abilitydex/sturdy.shtml),80,100,200,50,100,50,580
#0378,Regice (/pokemon/regice),ice,Clear Body (/abilitydex/clearbody.shtml) | Ice Body (/abilitydex/icebody.shtml),80,50,100,100,200,50,580
#0379,Registeel (/pokemon/registeel),steel,Clear Body (/abilitydex/clearbody.shtml) | Light Metal (/abilitydex/lightmetal.shtml),80,75,150,75,150,50,580
#0380,Latias (/pokemon/latias),dragon | psychic,Levitate (/abilitydex/levitate.shtml),80,80,90,110,130,110,600
#0381,Latios (/pokemon/latios),dragon | psychic,Levitate (/abilitydex/levitate.shtml),80,90,80,130,110,110,600
#0382,Kyogre (/pokemon/kyogre),water,Drizzle (/abilitydex/drizzle.shtml),100,100,90,150,140,90,670
#0383,Groudon (/pokemon/groudon),ground,Drought (/abilitydex/drought.shtml),100,150,140,100,90,90,670
#0384,Rayquaza (/pokemon/rayquaza),dragon | flying,Air Lock (/abilitydex/airlock.shtml),105,150,90,150,90,95,680
#0385,Jirachi (/pokemon/jirachi),steel | psychic,Serene Grace (/abilitydex/serenegrace.shtml),100,100,100,100,100,100,600
#0386,Deoxys (/pokemon/deoxys),psychic,Pressure (/abilitydex/pressure.shtml),50,150,50,150,50,150,600
#0387,Turtwig (/pokemon/turtwig),grass,Overgrow (/abilitydex/overgrow.shtml) | Shell Armor (/abilitydex/shellarmor.shtml),55,68,64,45,55,31,318
#0388,Grotle (/pokemon/grotle),grass,Overgrow (/abilitydex/overgrow.shtml) | Shell Armor (/abilitydex/shellarmor.shtml),75,89,85,55,65,36,405
#0389,Torterra (/pokemon/torterra),grass | ground,Overgrow (/abilitydex/overgrow.shtml) | Shell Armor (/abilitydex/shellarmor.shtml),95,109,105,75,85,56,525
#0390,Chimchar (/pokemon/chimchar),fire,Blaze (/abilitydex/blaze.shtml) | Iron Fist (/abilitydex/ironfist.shtml),44,58,44,58,44,61,309
#0391,Monferno (/pokemon/monferno),fire | fighting,Blaze (/abilitydex/blaze.shtml) | Iron Fist (/abilitydex/ironfist.shtml),64,78,52,78,52,81,405
#0392,Infernape (/pokemon/infernape),fire | fighting,Blaze (/abilitydex/blaze.shtml) | Iron Fist (/abilitydex/ironfist.shtml),76,104,71,104,71,108,534
#0393,Piplup (/pokemon/piplup),water,Torrent (/abilitydex/torrent.shtml) | Competitive (/abilitydex/competitive.shtml),53,51,53,61,56,40,314
#0394,Prinplup (/pokemon/prinplup),water,Torrent (/abilitydex/torrent.shtml) | Competitive (/abilitydex/competitive.shtml),64,66,68,81,76,50,405
#0395,Empoleon (/pokemon/empoleon),water | steel,Torrent (/abilitydex/torrent.shtml) | Competitive (/abilitydex/competitive.shtml),84,86,88,111,101,60,530
#0396,Starly (/pokemon/starly),normal | flying,Keen Eye (/abilitydex/keeneye.shtml) | Reckless (/abilitydex/reckless.shtml),40,55,30,30,30,60,245
#0397,Staravia (/pokemon/staravia),normal | flying,Intimidate (/abilitydex/intimidate.shtml) | Reckless (/abilitydex/reckless.shtml),55,75,50,40,40,80,340
#0398,Staraptor (/pokemon/staraptor),normal | flying,Intimidate (/abilitydex/intimidate.shtml) | Reckless (/abilitydex/reckless.shtml),85,120,70,50,60,100,485
#0399,Bidoof (/pokemon/bidoof),normal,Simple (/abilitydex/simple.shtml) | Unaware (/abilitydex/unaware.shtml) | Moody (/abilitydex/moody.shtml),59,45,40,35,40,31,250
#0400,Bibarel (/pokemon/bibarel),normal | water,Simple (/abilitydex/simple.shtml) | Unaware (/abilitydex/unaware.shtml) | Moody (/abilitydex/moody.shtml),79,85,60,55,60,71,410
#0401,Kricketot (/pokemon/kricketot),bug,Shed Skin (/abilitydex/shedskin.shtml) | Run Away (/abilitydex/runaway.shtml),37,25,41,25,41,25,194
#0402,Kricketune (/pokemon/kricketune),bug,Swarm (/abilitydex/swarm.shtml) | Technician (/abilitydex/technician.shtml),77,85,51,55,51,65,384
#0403,Shinx (/pokemon/shinx),electric,Rivalry (/abilitydex/rivalry.shtml) | Intimidate (/abilitydex/intimidate.shtml) | Guts (/abilitydex/guts.shtml),45,65,34,40,34,45,263
#0404,Luxio (/pokemon/luxio),electric,Rivalry (/abilitydex/rivalry.shtml) | Intimidate (/abilitydex/intimidate.shtml) | Guts (/abilitydex/guts.shtml),60,85,49,60,49,60,363
#0405,Luxray (/pokemon/luxray),electric,Rivalry (/abilitydex/rivalry.shtml) | Intimidate (/abilitydex/intimidate.shtml) | Guts (/abilitydex/guts.shtml),80,120,79,95,79,70,523
#0406,Budew (/pokemon/budew),grass | poison,Natural Cure (/abilitydex/naturalcure.shtml) | Poison Point (/abilitydex/poisonpoint.shtml) | Leaf Guard (/abilitydex/leafguard.shtml),40,30,35,50,70,55,280
#0407,Roserade (/pokemon/roserade),grass | poison,Natural Cure (/abilitydex/naturalcure.shtml) | Poison Point (/abilitydex/poisonpoint.shtml) | Technician (/abilitydex/technician.shtml),60,70,65,125,105,90,515
#0408,Cranidos (/pokemon/cranidos),rock,Mold Breaker (/abilitydex/moldbreaker.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),67,125,40,30,30,58,350
#0409,Rampardos (/pokemon/rampardos),rock,Mold Breaker (/abilitydex/moldbreaker.shtml) | Sheer Force (/abilitydex/sheerforce.shtml),97,165,60,65,50,58,495
#0410,Shieldon (/pokemon/shieldon),rock | steel,Sturdy (/abilitydex/sturdy.shtml) | Soundproof (/abilitydex/soundproof.shtml),30,42,118,42,88,30,350
#0411,Bastiodon (/pokemon/bastiodon),rock | steel,Sturdy (/abilitydex/sturdy.shtml) | Soundproof (/abilitydex/soundproof.shtml),60,52,168,47,138,30,495
#0412,Burmy (/pokemon/burmy),bug,Shed Skin (/abilitydex/shedskin.shtml) | Overcoat (/abilitydex/overcoat.shtml),40,29,45,29,45,36,224
#0413,Wormadam (/pokemon/wormadam),bug | grass,Anticipation (/abilitydex/anticipation.shtml) | Overcoat (/abilitydex/overcoat.shtml),60,59,85,79,105,36,424
#0414,Mothim (/pokemon/mothim),bug | flying,Swarm (/abilitydex/swarm.shtml) | Tinted Lens (/abilitydex/tintedlens.shtml),70,94,50,94,50,66,424
#0415,Combee (/pokemon/combee),bug | flying,Honey Gather (/abilitydex/honeygather.shtml) | Hustle (/abilitydex/hustle.shtml),30,30,42,30,42,70,244
#0416,Vespiquen (/pokemon/vespiquen),bug | flying,Pressure (/abilitydex/pressure.shtml) | Unnerve (/abilitydex/unnerve.shtml),70,80,102,80,102,40,474
#0417,Pachirisu (/pokemon/pachirisu),electric,Run Away (/abilitydex/runaway.shtml) | Pickup (/abilitydex/pickup.shtml) | Volt Absorb (/abilitydex/voltabsorb.shtml),60,45,70,45,90,95,405
#0418,Buizel (/pokemon/buizel),water,Swift Swim (/abilitydex/swiftswim.shtml) | Water Veil (/abilitydex/waterveil.shtml),55,65,35,60,30,85,330
#0419,Floatzel (/pokemon/floatzel),water,Swift Swim (/abilitydex/swiftswim.shtml) | Water Veil (/abilitydex/waterveil.shtml),85,105,55,85,50,115,495
#0420,Cherubi (/pokemon/cherubi),grass,Chlorophyll (/abilitydex/chlorophyll.shtml),45,35,45,62,53,35,275
#0421,Cherrim (/pokemon/cherrim),grass,Flower Gift (/abilitydex/flowergift.shtml),70,60,70,87,78,85,450
#0422,Shellos (/pokemon/shellos),water,Sticky Hold (/abilitydex/stickyhold.shtml) | Storm Drain (/abilitydex/stormdrain.shtml) | Sand Force (/abilitydex/sandforce.shtml),76,48,48,57,62,34,325
#0423,Gastrodon (/pokemon/gastrodon),water | ground,Sticky Hold (/abilitydex/stickyhold.shtml) | Storm Drain (/abilitydex/stormdrain.shtml) | Sand Force (/abilitydex/sandforce.shtml),111,83,68,92,82,39,475
#0424,Ambipom (/pokemon/ambipom),normal,Technician (/abilitydex/technician.shtml) | Pickup (/abilitydex/pickup.shtml) | Skill Link (/abilitydex/skilllink.shtml),75,100,66,60,66,115,482
#0425,Drifloon (/pokemon/drifloon),ghost | flying,Aftermath (/abilitydex/aftermath.shtml) | Unburden (/abilitydex/unburden.shtml) | Flare Boost (/abilitydex/flareboost.shtml),90,50,34,60,44,70,348
#0426,Drifblim (/pokemon/drifblim),ghost | flying,Aftermath (/abilitydex/aftermath.shtml) | Unburden (/abilitydex/unburden.shtml) | Flare Boost (/abilitydex/flareboost.shtml),150,80,44,90,54,80,498
#0427,Buneary (/pokemon/buneary),normal,Run Away (/abilitydex/runaway.shtml) | Klutz (/abilitydex/klutz.shtml) | Limber (/abilitydex/limber.shtml),55,66,44,44,56,85,350
#0428,Lopunny (/pokemon/lopunny),normal,Cute Charm (/abilitydex/cutecharm.shtml) | Klutz (/abilitydex/klutz.shtml) | Limber (/abilitydex/limber.shtml),65,76,84,54,96,105,480
#0429,Mismagius (/pokemon/mismagius),ghost,Levitate (/abilitydex/levitate.shtml),60,60,60,105,105,105,495
#0430,Honchkrow (/pokemon/honchkrow),dark | flying,Insomnia (/abilitydex/insomnia.shtml) | Super Luck (/abilitydex/superluck.shtml) | Moxie (/abilitydex/moxie.shtml),100,125,52,105,52,71,505
#0431,Glameow (/pokemon/glameow),normal,Limber (/abilitydex/limber.shtml) | Own Tempo (/abilitydex/owntempo.shtml) | Keen Eye (/abilitydex/keeneye.shtml),49,55,42,42,37,85,310
#0432,Purugly (/pokemon/purugly),normal,Thick Fat (/abilitydex/thickfat.shtml) | Own Tempo (/abilitydex/owntempo.shtml) | Defiant (/abilitydex/defiant.shtml),71,82,64,64,59,112,452
#0433,Chingling (/pokemon/chingling),psychic,Levitate (/abilitydex/levitate.shtml),45,30,50,65,50,45,285
#0434,Stunky (/pokemon/stunky),poison | dark,Stench (/abilitydex/stench.shtml) | Aftermath (/abilitydex/aftermath.shtml) | Keen Eye (/abilitydex/keeneye.shtml),63,63,47,41,41,74,329
#0435,Skuntank (/pokemon/skuntank),poison | dark,Stench (/abilitydex/stench.shtml) | Aftermath (/abilitydex/aftermath.shtml) | Keen Eye (/abilitydex/keeneye.shtml),103,93,67,71,61,84,479
#0436,Bronzor (/pokemon/bronzor),steel | psychic,Levitate (/abilitydex/levitate.shtml) | Heatproof (/abilitydex/heatproof.shtml) | Heavy Metal (/abilitydex/heavymetal.shtml),57,24,86,24,86,23,300
#0437,Bronzong (/pokemon/bronzong),steel | psychic,Levitate (/abilitydex/levitate.shtml) | Heatproof (/abilitydex/heatproof.shtml) | Heavy Metal (/abilitydex/heavymetal.shtml),67,89,116,79,116,33,500
#0438,Bonsly (/pokemon/bonsly),rock,Sturdy (/abilitydex/sturdy.shtml) | Rock Head (/abilitydex/rockhead.shtml) | Rattled (/abilitydex/rattled.shtml),50,80,95,10,45,10,290
#0439,Mime Jr. (/pokemon/mimejr.),psychic | fairy,Soundproof (/abilitydex/soundproof.shtml) | Filter (/abilitydex/filter.shtml) | Technician (/abilitydex/technician.shtml),20,25,45,70,90,60,310
